Google Cloud,グーグル クラウド,Google Cloud
Google Cloud Next Tokyo,グーグル クラウド ネクスト トウキョウ,Google Cloud Next Tokyo
Google Cloud Next,グーグル クラウド ネクスト,Google Cloud Next
Gemini,ジェミニ,Gemini
Gemini Enterprise,ジェミニ エンタープライズ,Gemini Enterprise
Gemini API,ジェミニ エーピーアイ,Gemini API
Gemini CLI,ジェミニ シーエルアイ,Gemini CLI
Gemini models,ジェミニ モデル,Gemini モデル
Model Garden,モデル ガーデン,Model Garden
Agent Development Kit,エージェント デベロップメント キット,Agent Development Kit
ADK,エーディーケー,ADK
ADK 2.0,エーディーケー 2.0,ADK 2.0
Agent Studio,エージェント スタジオ,Agent Studio
Agent Garden,エージェント ガーデン,Agent Garden
Agent Runtime,エージェント ランタイム,Agent Runtime
Agent Sessions,エージェント セッションズ,Agent Sessions
Agent Sandbox,エージェント サンドボックス,Agent Sandbox
Agent Memory Bank,エージェント メモリー バンク,Agent Memory Bank
Agent Gateway,エージェント ゲートウェイ,Agent Gateway
Agent Identity,エージェント アイデンティティ,Agent Identity
Agent Registry,エージェント レジストリ,Agent Registry
Agent Anomaly Detection,エージェント アノマリー ディテクション,Agent Anomaly Detection
Model Armor,モデル アーマー,Model Armor
Agent Policy,エージェント ポリシー,Agent Policy
Agent Security,エージェント セキュリティ,Agent Security
Agent Compliance,エージェント コンプライアンス,Agent Compliance
Agent Evaluation,エージェント エバリュエーション,Agent Evaluation
Agent Simulation,エージェント シミュレーション,Agent Simulation
Agent Observability,エージェント オブザーバビリティ,Agent Observability
Agent Optimizer,エージェント オプティマイザー,Agent Optimizer
Agent Platform,エージェント プラットフォーム,Agent Platform
Agents API,エージェンツ エーピーアイ,Agents API
GenAI SDK,ジェンエーアイ エスディーケー,GenAI SDK
Skills Registry,スキルズ レジストリ,Skills Registry
Cloud Marketplace,クラウド マーケットプレイス,Cloud Marketplace
Workspace,ワークスペース,Workspace
Antigravity,アンチグラビティ,Antigravity
A2A,エーツーエー,A2A
MCP,エムシーピー,MCP
MCP server,エムシーピー サーバー,MCP サーバー
A2UI,エーツーユーアイ,A2UI
AP2,エーピーツー,AP2
UCP,ユーシーピー,UCP
RAG,ラグ,RAG
LLM,エルエルエム,LLM
IAM,アイエーエム,IAM
SDK,エスディーケー,SDK
API,エーピーアイ,API
EAP,イーエーピー,EAP
GA,ジーエー,GA
generally available,一般提供
public preview,パブリック プレビュー
grounding,グラウンディング
APIs and connectors,エーピーアイ とコネクタ,API とコネクタ
model training,モデル トレーニング
model inference,モデル推論
foundational model,基盤モデル
open models,オープンモデル
third-party,サードパーティ
AI agent,AI エージェント
multi-agent system,マルチエージェント システム
agent framework,エージェント フレームワーク
coordinator agent,コーディネーター エージェント
subagent,サブエージェント
collaborative agents,協調型エージェント
graph-based workflow,グラフベースのワークフロー
dynamic workflow,ダイナミック ワークフロー
workflow agent,ワークフロー エージェント
operating mode,動作モード
single-turn,シングルターン
routing logic,ルーティング ロジック
state management,状態管理
control flow,制御フロー
iterative loop,反復ループ
automatic checkpointing,自動チェックポイント機能
encapsulation,カプセル化
parent node,親ノード
sub-node,サブノード
generative AI model,生成 AI モデル
agent skill,エージェント スキル
progressive disclosure,段階的な開示
modular expertise,モジュール化された専門知識
multi-level architecture,マルチレベルの構造
domain-specific,ドメイン固有
filesystem-based,ファイルシステムベース
skill sprawl,スキル スプロール
agent sprawl,エージェント スプロール
LLM sprawl,エルエルエム スプロール,LLM スプロール
fragmented landscape,分断された環境
bespoke infrastructure,専用インフラ
observability,オブザーバビリティ
async/await,アシンク アウェイト,async/await
while loop,while ループ
travel_planner,トラベル プランナー,travel_planner
